Date Started,Date Read,Title,Author,Additional Authors
2018-01-04,2018-01-12,Essential French Grammar,Seymour Resnick,
2018-01-06,2018-01-13,The Subtle Art of Not Giving a F*ck,Mark Manson,
2018-01-15,2018-01-21,As Três Marias,Rachel de Queiroz,
2018-01-23,2018-02-03,Spice & Wolf, Vol. 10,Isuna Hasekura,
2018-01-23,,Operating Systems Design and Implementation,Andrew S. Tanenbaum,Albert S. Woodhull
2018-02-08,2018-03-01,O Andarilho (A Busca do Graal #2),Bernard Cornwell,
2018-02-14,2018-02-24,The Thousand-Dollar Tan Line (Veronica Mars #1),Rob Thomas,Jennifer Graham
2018-03-03,2018-03-16,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"William Ury, Bruce Patton"
2018-03-05,2018-03-15,Lyrebird Hill,Anna Romer,
2018-03-17,2018-03-22,O Alforje,Bahíyyih Nakhjavání,
2018-03-17,2018-03-29,West Cork,Sam Bungey,Jennifer Forde
2018-03-24,2018-03-26,Pó de Parede,Carol Bensimon
2018-03-27,2018-04-06,Clean Architecture: A Craftsman's Guide to Software Structure and Design,Robert C. Martin,
2018-03-30,2018-04-01,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,
2018-04-01,2018-04-12,Option B,Sheryl Sandberg,Adam Grant
2018-04-06,2018-04-12,Nossos Dias Infinitos,Claire Fuller
2018-04-14,2018-04-20,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,
2018-04-23,2018-05-09,Principles,Ray Dalio,
2018-04-23,2018-05-24,Jane Eyre,Charlotte Brontë,
2018-05-12,2018-05-18,Good to Great,Jim Collins,
2018-05-25,2018-06-02,The Introvert Advantage,Marti Olsen Laney,
2018-06-06,2018-06-23,O Herege,Bernard Cornwell,
2018-06-24,,Wanderlust: a history of walking,Rebecca Solnit,
2018-07-02,2018-07-03,The Wild Unknown Tarot Guidebook,Kim Krans,
